,Industrial aggregate including unclassified businesses 6 7 8,Industrial aggregate excluding unclassified businesses 6 7 8,Goods producing industries 9,"Forestry, logging and support 10","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Service producing industries 11,Trade 12,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services (except public administration),Public administration,Unclassified businesses 7
2010-01-01,14311612.0,14084327.0,2461566.0,34569.0,170995.0,115474.0,716909.0,1423618.0,11622761.0,2591934.0,653184.0,328719.0,683626.0,248667.0,747067.0,111492.0,691169.0,1195583.0,1616119.0,216122.0,1030541.0,493877.0,1014659.0,227285.0
2010-02-01,14360081.0,14130148.0,2492451.0,35487.0,178700.0,114792.0,724739.0,1438731.0,11637697.0,2535141.0,654391.0,329125.0,679647.0,244246.0,751043.0,106283.0,706951.0,1249375.0,1616108.0,218644.0,1030870.0,495156.0,1020717.0,229933.0
2010-03-01,14410902.0,14172189.0,2509402.0,34797.0,179098.0,114693.0,739610.0,1441205.0,11662786.0,2529806.0,654365.0,331896.0,677062.0,243114.0,754957.0,105341.0,708873.0,1252342.0,1625889.0,220941.0,1031690.0,500252.0,1026261.0,238714.0
2010-04-01,14549731.0,14304730.0,2557231.0,31750.0,177906.0,116230.0,776244.0,1455101.0,11747498.0,2568407.0,655083.0,332480.0,679460.0,245162.0,758713.0,106453.0,719609.0,1245611.0,1629302.0,234614.0,1036129.0,506068.0,1030408.0,245001.0
2010-05-01,14783230.0,14525472.0,2660301.0,36043.0,180486.0,118408.0,836694.0,1488670.0,11865170.0,2600818.0,656528.0,334737.0,681332.0,247853.0,765037.0,107159.0,731685.0,1224493.0,1630125.0,251741.0,1071527.0,510268.0,1051867.0,257758.0
2010-06-01,15045619.0,14768604.0,2741130.0,44137.0,185824.0,120815.0,875047.0,1515307.0,12027474.0,2622862.0,668749.0,337539.0,687768.0,255432.0,771672.0,108248.0,748531.0,1202311.0,1651654.0,270522.0,1108618.0,518153.0,1075414.0,277014.0
2010-07-01,14861075.0,14570283.0,2757724.0,47931.0,191405.0,120933.0,879851.0,1517603.0,11812559.0,2626642.0,656837.0,339117.0,687317.0,256325.0,767897.0,107889.0,753179.0,943309.0,1662387.0,283855.0,1121947.0,518849.0,1087008.0,290792.0
2010-08-01,14639907.0,14345826.0,2750341.0,46267.0,192390.0,119487.0,896670.0,1495528.0,11595484.0,2605399.0,650644.0,341099.0,682380.0,253340.0,762710.0,107637.0,748009.0,811942.0,1657096.0,280564.0,1105267.0,512802.0,1076595.0,294081.0
2010-09-01,14967490.0,14662499.0,2767493.0,45772.0,194953.0,118843.0,902576.0,1505349.0,11895006.0,2609984.0,669141.0,342798.0,680909.0,253387.0,761190.0,107776.0,752255.0,1104190.0,1658620.0,270463.0,1109731.0,514762.0,1059802.0,304990.0
2010-10-01,15010819.0,14709244.0,2746645.0,42908.0,194993.0,118414.0,895836.0,1494494.0,11962599.0,2620715.0,665917.0,345985.0,684771.0,251598.0,761153.0,105599.0,750352.0,1225902.0,1651512.0,248926.0,1086656.0,515301.0,1048212.0,301575.0
2010-11-01,14953556.0,14662790.0,2713598.0,40021.0,193635.0,118320.0,878435.0,1483187.0,11949193.0,2640269.0,664485.0,343275.0,688084.0,253509.0,765244.0,103833.0,741491.0,1249458.0,1653811.0,223860.0,1066942.0,515394.0,1039536.0,290766.0
2010-12-01,15072387.0,14780838.0,2687488.0,38809.0,199553.0,120513.0,834634.0,1493979.0,12093350.0,2694684.0,672822.0,349427.0,685173.0,261145.0,779704.0,106951.0,738941.0,1271464.0,1677926.0,222790.0,1070393.0,519343.0,1042586.0,291548.0
2011-01-01,14577610.0,14304574.0,2543142.0,35532.0,199248.0,118249.0,746174.0,1443938.0,11761432.0,2610734.0,660955.0,345917.0,677918.0,251697.0,761307.0,102409.0,708130.0,1207659.0,1654778.0,217774.0,1041394.0,503337.0,1017423.0,273036.0
2011-02-01,14631158.0,14375324.0,2585940.0,36108.0,208531.0,119471.0,760182.0,1461647.0,11789384.0,2565536.0,662049.0,343577.0,682813.0,251985.0,771259.0,101235.0,713766.0,1252317.0,1648116.0,221073.0,1040124.0,505884.0,1029649.0,255834.0
2011-03-01,14688209.0,14429121.0,2603076.0,35408.0,208599.0,118948.0,772461.0,1467661.0,11826045.0,2560118.0,661142.0,344001.0,680224.0,249939.0,776356.0,100426.0,715941.0,1256893.0,1664017.0,221963.0,1048634.0,509959.0,1036431.0,259088.0
2011-04-01,14807711.0,14543792.0,2648841.0,32123.0,205030.0,120569.0,800978.0,1490141.0,11894952.0,2577275.0,666816.0,342407.0,684097.0,249255.0,780308.0,101082.0,726929.0,1251810.0,1669982.0,230577.0,1063688.0,514287.0,1036440.0,263919.0
2011-05-01,15014466.0,14734111.0,2722487.0,33521.0,200829.0,126027.0,851650.0,1510459.0,12011624.0,2603305.0,668241.0,343380.0,684615.0,251954.0,786410.0,101902.0,744999.0,1216487.0,1671188.0,251590.0,1094123.0,517033.0,1076395.0,280355.0
2011-06-01,15323337.0,15023663.0,2818647.0,43398.0,205615.0,126229.0,906739.0,1536667.0,12205016.0,2639754.0,682947.0,346319.0,692971.0,261226.0,794372.0,105265.0,761013.0,1193406.0,1688117.0,274614.0,1131037.0,527218.0,1106758.0,299674.0
2011-07-01,15094806.0,14786632.0,2833824.0,47495.0,206622.0,126473.0,918274.0,1534960.0,11952808.0,2633575.0,670322.0,347815.0,691362.0,259134.0,793250.0,104881.0,762352.0,920929.0,1701603.0,286641.0,1142103.0,530514.0,1108327.0,308174.0
2011-08-01,14904312.0,14595351.0,2815081.0,47180.0,205583.0,125292.0,923624.0,1513401.0,11780271.0,2620352.0,669971.0,347184.0,686302.0,257530.0,790842.0,105127.0,759320.0,811623.0,1697756.0,281234.0,1139859.0,527564.0,1085605.0,308960.0
2011-09-01,15235056.0,14915815.0,2848323.0,46240.0,209599.0,124025.0,940717.0,1527742.0,12067492.0,2627486.0,684690.0,348659.0,685210.0,257394.0,790387.0,103462.0,762935.0,1096004.0,1699930.0,276437.0,1144928.0,528997.0,1060973.0,319241.0
2011-10-01,15231974.0,14916818.0,2814408.0,43549.0,210240.0,125341.0,928792.0,1506486.0,12102409.0,2624909.0,685571.0,346997.0,683323.0,252263.0,788314.0,103711.0,758555.0,1220726.0,1690590.0,254145.0,1122428.0,527287.0,1043589.0,315156.0
2011-11-01,15221689.0,14926179.0,2798976.0,41646.0,210267.0,126087.0,915667.0,1505310.0,12127203.0,2658140.0,685164.0,346762.0,685207.0,252474.0,793620.0,105973.0,752327.0,1241506.0,1698286.0,231857.0,1107830.0,529649.0,1038408.0,295510.0
2011-12-01,15279197.0,14993838.0,2760857.0,39945.0,214448.0,124869.0,871792.0,1509803.0,12232981.0,2697559.0,696231.0,349266.0,691524.0,256205.0,806027.0,108020.0,750543.0,1249491.0,1713722.0,227879.0,1112959.0,529768.0,1043787.0,285360.0
2012-01-01,14782578.0,14517778.0,2604153.0,35370.0,207136.0,121317.0,776460.0,1463870.0,11913626.0,2618899.0,678097.0,344991.0,693509.0,247422.0,794698.0,105527.0,717809.0,1193298.0,1689481.0,221647.0,1079852.0,510011.0,1018386.0,264800.0
2012-02-01,14813078.0,14561579.0,2633487.0,35856.0,214597.0,120804.0,794235.0,1467994.0,11928092.0,2562659.0,678381.0,344050.0,690068.0,245831.0,798742.0,104190.0,715123.0,1257071.0,1688869.0,224842.0,1075211.0,513671.0,1029383.0,251499.0
2012-03-01,14896138.0,14640065.0,2661516.0,35375.0,217875.0,121516.0,809152.0,1477598.0,11978549.0,2566862.0,676642.0,348982.0,689558.0,246795.0,794357.0,105023.0,721751.0,1265472.0,1697671.0,228258.0,1085418.0,518093.0,1033666.0,256073.0
2012-04-01,15027983.0,14765068.0,2699234.0,31679.0,214926.0,120728.0,843531.0,1488369.0,12065834.0,2600976.0,679183.0,347538.0,689763.0,247000.0,801617.0,108771.0,734564.0,1257935.0,1703889.0,236369.0,1107907.0,519224.0,1031099.0,262915.0
2012-05-01,15355529.0,15081470.0,2822766.0,35117.0,216842.0,123587.0,916040.0,1531180.0,12258704.0,2650916.0,690391.0,349864.0,693099.0,256652.0,814946.0,112505.0,763452.0,1226196.0,1714646.0,257675.0,1144845.0,529215.0,1054304.0,274059.0
2012-06-01,15609568.0,15315913.0,2899203.0,45434.0,224259.0,123379.0,957386.0,1548746.0,12416710.0,2676814.0,700268.0,351740.0,700988.0,261723.0,825225.0,116571.0,777242.0,1206026.0,1728878.0,275681.0,1179075.0,535917.0,1080563.0,293655.0
2012-07-01,15370556.0,15073929.0,2908009.0,48153.0,224187.0,123810.0,966734.0,1545125.0,12165920.0,2678838.0,691813.0,351507.0,696209.0,262592.0,823668.0,116604.0,780579.0,932448.0,1740640.0,288922.0,1186971.0,536898.0,1078232.0,296627.0
2012-08-01,15236066.0,14951437.0,2910764.0,45212.0,228414.0,122528.0,979071.0,1535540.0,12040672.0,2671120.0,690797.0,355603.0,693366.0,263445.0,817010.0,116155.0,782266.0,830056.0,1739199.0,285099.0,1187764.0,536773.0,1072019.0,284629.0
2012-09-01,15481594.0,15199146.0,2901755.0,42972.0,227281.0,121024.0,985725.0,1524753.0,12297391.0,2666936.0,711748.0,353683.0,691934.0,260665.0,811609.0,115376.0,776576.0,1138402.0,1732645.0,272418.0,1180893.0,533220.0,1051286.0,282447.0
2012-10-01,15482956.0,15207628.0,2890134.0,40539.0,226913.0,121622.0,982181.0,1518878.0,12317495.0,2661908.0,709781.0,346452.0,691001.0,259370.0,810074.0,110192.0,774843.0,1243093.0,1730286.0,252437.0,1159673.0,533108.0,1035276.0,275328.0
2012-11-01,15483695.0,15215030.0,2865370.0,39290.0,227036.0,121323.0,966300.0,1511421.0,12349660.0,2694435.0,708074.0,345870.0,693222.0,258539.0,814413.0,110196.0,771222.0,1270224.0,1735277.0,233248.0,1146549.0,535209.0,1033181.0,268665.0
2012-12-01,15483798.0,15222803.0,2819245.0,37534.0,225320.0,119405.0,925028.0,1511958.0,12403557.0,2716983.0,712420.0,348369.0,700265.0,259774.0,822263.0,110160.0,761828.0,1279428.0,1743660.0,229015.0,1146354.0,538237.0,1034801.0,260995.0
2013-01-01,15024938.0,14782292.0,2671455.0,34003.0,222015.0,116922.0,827975.0,1470540.0,12110838.0,2648680.0,695717.0,345780.0,698980.0,255443.0,801869.0,105013.0,728239.0,1227107.0,1734571.0,224894.0,1113634.0,519741.0,1011171.0,242646.0
2013-02-01,15082210.0,14847064.0,2708246.0,34605.0,228924.0,118585.0,850386.0,1475745.0,12138819.0,2613347.0,692350.0,342663.0,692425.0,257671.0,808458.0,104412.0,732252.0,1283942.0,1725187.0,228805.0,1112360.0,524886.0,1020061.0,235146.0
2013-03-01,15147950.0,14919563.0,2725955.0,34310.0,226152.0,118284.0,865387.0,1481821.0,12193608.0,2621192.0,693461.0,344034.0,692019.0,261416.0,809812.0,105290.0,738638.0,1296706.0,1728880.0,229906.0,1123560.0,527203.0,1021492.0,228387.0
2013-04-01,15244677.0,15006912.0,2755525.0,31146.0,220500.0,118583.0,892292.0,1493004.0,12251387.0,2631542.0,694571.0,348541.0,692659.0,262053.0,814576.0,105443.0,744595.0,1289927.0,1734910.0,232786.0,1147088.0,533965.0,1018730.0,237765.0
2013-05-01,15501388.0,15264565.0,2849375.0,33603.0,222931.0,119534.0,949895.0,1523411.0,12415190.0,2673142.0,704114.0,348328.0,694882.0,267266.0,822146.0,107781.0,768050.0,1253740.0,1746241.0,256969.0,1191212.0,538650.0,1042669.0,236823.0
2013-06-01,15683440.0,15436510.0,2890439.0,42501.0,225254.0,120978.0,967263.0,1534442.0,12546071.0,2694491.0,713427.0,346250.0,703912.0,274770.0,832066.0,109517.0,782199.0,1230257.0,1756986.0,275653.0,1217885.0,542586.0,1066071.0,246929.0
2013-07-01,15505214.0,15251828.0,2929828.0,44921.0,225212.0,120982.0,1001408.0,1537305.0,12322000.0,2692984.0,703699.0,346470.0,706774.0,276412.0,830025.0,109259.0,787933.0,950450.0,1770962.0,290693.0,1231807.0,547108.0,1077424.0,253386.0
2013-08-01,15418614.0,15160436.0,2941891.0,44078.0,228347.0,119613.0,1024627.0,1525226.0,12218545.0,2694222.0,700973.0,346499.0,706091.0,277801.0,828754.0,105382.0,798828.0,851046.0,1766037.0,288311.0,1235238.0,546614.0,1072750.0,258177.0
2013-09-01,15652843.0,15398878.0,2923500.0,42059.0,228237.0,118972.0,1024380.0,1509852.0,12475378.0,2693494.0,721101.0,347046.0,698486.0,274315.0,826326.0,105969.0,799062.0,1163172.0,1763010.0,274040.0,1220996.0,541758.0,1046603.0,253965.0
2013-10-01,15707934.0,15455248.0,2912364.0,41051.0,227818.0,118316.0,1018014.0,1507165.0,12542885.0,2690997.0,718346.0,348251.0,699261.0,272805.0,825194.0,106344.0,799320.0,1287438.0,1757068.0,257122.0,1200033.0,543185.0,1037519.0,252686.0
2013-11-01,15657065.0,15411606.0,2873373.0,39652.0,226671.0,117554.0,997441.0,1492056.0,12538233.0,2716449.0,716977.0,347352.0,695995.0,272434.0,826763.0,106804.0,792362.0,1312540.0,1762645.0,236236.0,1174237.0,542833.0,1034605.0,245459.0
2013-12-01,15675004.0,15448846.0,2823305.0,37890.0,230175.0,116346.0,945910.0,1492983.0,12625542.0,2771142.0,724861.0,349486.0,706761.0,279022.0,836034.0,106515.0,777568.0,1304725.0,1783160.0,233155.0,1175555.0,544335.0,1033224.0,226158.0
2014-01-01,15216841.0,15004711.0,2675087.0,34902.0,219955.0,115016.0,847103.0,1458112.0,12329623.0,2683432.0,708579.0,346070.0,701450.0,269350.0,819850.0,102255.0,751275.0,1258521.0,1766806.0,229905.0,1147280.0,528753.0,1016098.0,212131.0
2014-02-01,15226079.0,15024174.0,2719147.0,35282.0,230748.0,116029.0,873913.0,1463175.0,12305027.0,2622640.0,705416.0,344208.0,699657.0,265890.0,818238.0,101480.0,747830.0,1310607.0,1766465.0,230925.0,1139069.0,530620.0,1021983.0,201905.0
2014-03-01,15279142.0,15068754.0,2720597.0,34480.0,231851.0,116551.0,878378.0,1459337.0,12348157.0,2638890.0,701102.0,348116.0,699215.0,268642.0,823250.0,101187.0,753977.0,1312948.0,1764574.0,231315.0,1145462.0,533334.0,1026144.0,210388.0
2014-04-01,15360876.0,15147597.0,2742081.0,31581.0,227473.0,118305.0,897257.0,1467465.0,12405517.0,2664811.0,703393.0,343443.0,702217.0,271632.0,827929.0,102772.0,759889.0,1304166.0,1769521.0,234805.0,1158608.0,537529.0,1024803.0,213279.0
2014-05-01,15709285.0,15489293.0,2862896.0,33240.0,228371.0,120054.0,974681.0,1506550.0,12626397.0,2724086.0,717545.0,346512.0,706832.0,279085.0,839404.0,104923.0,794370.0,1268924.0,1783902.0,260960.0,1205074.0,547550.0,1047229.0,219992.0
2014-06-01,15935259.0,15714802.0,2939391.0,41279.0,229196.0,119217.0,1024197.0,1525502.0,12775411.0,2737157.0,726263.0,346864.0,714170.0,287109.0,852554.0,107446.0,807024.0,1250417.0,1798992.0,280620.0,1237914.0,555209.0,1073672.0,220457.0
2014-07-01,15730547.0,15507571.0,2961654.0,44970.0,234535.0,119059.0,1030792.0,1532299.0,12545916.0,2739862.0,718974.0,349729.0,710822.0,288567.0,852024.0,107863.0,806116.0,960163.0,1814230.0,295632.0,1251745.0,558957.0,1091231.0,222976.0
2014-08-01,15599481.0,15368567.0,2970426.0,44938.0,236644.0,117595.0,1055219.0,1516031.0,12398141.0,2732342.0,706293.0,349995.0,710385.0,289117.0,854695.0,105548.0,809450.0,857140.0,1805141.0,292799.0,1253701.0,553659.0,1077876.0,230914.0
2014-09-01,15858890.0,15623719.0,2961627.0,43437.0,236321.0,116656.0,1062428.0,1502784.0,12662092.0,2733059.0,726485.0,347028.0,704802.0,288318.0,850967.0,105534.0,808935.0,1164626.0,1804824.0,280131.0,1247001.0,552877.0,1047504.0,235171.0
2014-10-01,15914722.0,15678813.0,2952293.0,41490.0,236641.0,116782.0,1056708.0,1500672.0,12726520.0,2734459.0,723913.0,349704.0,701198.0,285499.0,851752.0,104637.0,808113.0,1292792.0,1799917.0,260385.0,1226643.0,553245.0,1034263.0,235909.0
2014-11-01,15812512.0,15582989.0,2904048.0,39372.0,233816.0,115702.0,1027918.0,1487239.0,12678941.0,2748002.0,720477.0,347788.0,699901.0,284815.0,852474.0,104724.0,792719.0,1316893.0,1798411.0,234791.0,1200912.0,549721.0,1027314.0,229524.0
2014-12-01,15865472.0,15635347.0,2865432.0,38046.0,236702.0,114707.0,975111.0,1500867.0,12769915.0,2790591.0,727850.0,348156.0,708182.0,290173.0,858517.0,106337.0,785461.0,1316874.0,1816149.0,233902.0,1201658.0,552974.0,1033093.0,230124.0
2015-01-01,15439361.0,15206220.0,2711451.0,35252.0,225612.0,113755.0,871136.0,1465697.0,12494769.0,2703523.0,714681.0,345945.0,706326.0,281741.0,843849.0,105580.0,755844.0,1271407.0,1807975.0,230182.0,1174620.0,537661.0,1015436.0,233141.0
2015-02-01,15449765.0,15214529.0,2730957.0,36126.0,223374.0,114501.0,885896.0,1471061.0,12483572.0,2647906.0,712820.0,345983.0,703821.0,279603.0,845891.0,104159.0,750830.0,1325533.0,1808102.0,230221.0,1168643.0,539987.0,1020072.0,235235.0
2015-03-01,15466056.0,15227052.0,2721217.0,35822.0,220397.0,113445.0,888138.0,1463415.0,12505835.0,2645266.0,710380.0,346754.0,706731.0,277427.0,846940.0,101344.0,754397.0,1326725.0,1812122.0,233713.0,1178687.0,539867.0,1025484.0,239004.0
2015-04-01,15601135.0,15359284.0,2755528.0,33315.0,212143.0,114122.0,913550.0,1482398.0,12603756.0,2678722.0,713047.0,351804.0,708708.0,282040.0,850036.0,101238.0,763834.0,1328308.0,1818892.0,240552.0,1195685.0,544174.0,1026717.0,241851.0
2015-05-01,15908398.0,15649862.0,2880179.0,36841.0,210643.0,116733.0,996388.0,1519573.0,12769683.0,2722869.0,722331.0,351428.0,710284.0,286232.0,857301.0,101606.0,793284.0,1287583.0,1822698.0,268166.0,1244552.0,548099.0,1053251.0,258536.0
2015-06-01,16105024.0,15847349.0,2939148.0,44221.0,209769.0,115331.0,1031073.0,1538754.0,12908201.0,2735729.0,736329.0,351979.0,719063.0,292418.0,863785.0,104192.0,807427.0,1273088.0,1839063.0,289382.0,1270629.0,554224.0,1070893.0,257675.0
2015-07-01,15902234.0,15633425.0,2949589.0,47331.0,212131.0,116146.0,1032682.0,1541298.0,12683836.0,2746459.0,723195.0,354018.0,717496.0,293906.0,861461.0,103586.0,812876.0,979840.0,1856802.0,305713.0,1287143.0,558704.0,1082637.0,268809.0
2015-08-01,15682557.0,15410338.0,2938128.0,45901.0,208490.0,116464.0,1050969.0,1516304.0,12472211.0,2726947.0,710336.0,352685.0,711991.0,291102.0,860074.0,101887.0,809308.0,857110.0,1846759.0,300907.0,1281644.0,549988.0,1071471.0,272218.0
2015-09-01,15990122.0,15716475.0,2933736.0,44570.0,207964.0,116814.0,1055936.0,1508452.0,12782738.0,2737137.0,727067.0,352428.0,708443.0,290673.0,855508.0,103355.0,815784.0,1171197.0,1853822.0,295212.0,1278033.0,546881.0,1047200.0,273648.0
2015-10-01,16075338.0,15794866.0,2912959.0,41936.0,206716.0,115954.0,1047471.0,1500882.0,12881907.0,2745694.0,730216.0,353408.0,707822.0,295058.0,853193.0,102526.0,807306.0,1304031.0,1855741.0,281005.0,1262189.0,549003.0,1034714.0,280472.0
2015-11-01,15982108.0,15709108.0,2856584.0,40880.0,201484.0,115233.0,1010688.0,1488299.0,12852524.0,2760920.0,728549.0,355514.0,712241.0,295296.0,850704.0,100251.0,793895.0,1332996.0,1856543.0,256061.0,1235309.0,546041.0,1028206.0,272999.0
2015-12-01,16065458.0,15783773.0,2814837.0,39102.0,202916.0,115460.0,961333.0,1496027.0,12968936.0,2802064.0,739181.0,354635.0,724321.0,302407.0,866383.0,101377.0,787555.0,1344126.0,1873047.0,254064.0,1240970.0,546329.0,1032478.0,281684.0
2016-01-01,15564200.0,15292765.0,2663947.0,36026.0,194468.0,114154.0,868554.0,1450744.0,12628819.0,2700730.0,724849.0,348339.0,722165.0,291910.0,849621.0,96879.0,747454.0,1284356.0,1865497.0,247641.0,1204951.0,526352.0,1018075.0,271435.0
2016-02-01,15563187.0,15297478.0,2659235.0,36106.0,192570.0,116197.0,869599.0,1444763.0,12638243.0,2656484.0,716311.0,349133.0,715095.0,289575.0,848039.0,96128.0,757849.0,1338964.0,1863634.0,253435.0,1198971.0,524958.0,1029667.0,265709.0
2016-03-01,15622359.0,15349322.0,2671996.0,35386.0,190838.0,116386.0,877818.0,1451568.0,12677326.0,2652853.0,711642.0,348704.0,715291.0,284070.0,849449.0,95873.0,760345.0,1348548.0,1881226.0,256209.0,1211683.0,527051.0,1034383.0,273037.0
2016-04-01,15769319.0,15480539.0,2720391.0,31167.0,187248.0,116766.0,919650.0,1465560.0,12760148.0,2676688.0,718999.0,345725.0,717638.0,284254.0,852342.0,97086.0,771002.0,1348470.0,1887469.0,262860.0,1228837.0,531116.0,1037664.0,288780.0
2016-05-01,16035173.0,15742052.0,2808953.0,36250.0,186539.0,119012.0,972991.0,1494162.0,12933099.0,2720563.0,727370.0,347277.0,720404.0,289809.0,861763.0,97544.0,785703.0,1313447.0,1897078.0,284812.0,1270378.0,536788.0,1080164.0,293120.0
2016-06-01,16351094.0,16035216.0,2890987.0,44861.0,188654.0,120131.0,1016711.0,1520629.0,13144229.0,2756028.0,738156.0,351840.0,722698.0,298304.0,869716.0,99503.0,811796.0,1298557.0,1917674.0,309913.0,1308567.0,546103.0,1115375.0,315878.0
2016-07-01,16085304.0,15770469.0,2900295.0,47030.0,190936.0,121351.0,1029173.0,1511806.0,12870174.0,2743275.0,728009.0,354756.0,725514.0,297520.0,866837.0,98395.0,820902.0,992364.0,1934251.0,325111.0,1322634.0,543828.0,1116778.0,314834.0
2016-08-01,15864905.0,15552773.0,2882823.0,45222.0,189264.0,120358.0,1031849.0,1496130.0,12669950.0,2734129.0,714717.0,352484.0,721730.0,294189.0,864798.0,97090.0,816331.0,873831.0,1926018.0,320348.0,1318870.0,540475.0,1094940.0,312132.0
2016-09-01,16245297.0,15933977.0,2902416.0,43599.0,189769.0,120254.0,1047369.0,1501425.0,13031561.0,2742274.0,740088.0,352344.0,721029.0,296400.0,866325.0,97943.0,823777.0,1202349.0,1930199.0,314702.0,1320443.0,542085.0,1081604.0,311319.0
2016-10-01,16240828.0,15936675.0,2863835.0,41732.0,188367.0,119377.0,1029727.0,1484631.0,13072841.0,2746223.0,737666.0,351712.0,721825.0,293337.0,866023.0,98342.0,814366.0,1328099.0,1926766.0,291884.0,1293343.0,538969.0,1064287.0,304152.0
2016-11-01,16212992.0,15923768.0,2842195.0,40886.0,187784.0,118842.0,1011216.0,1483467.0,13081574.0,2772695.0,735270.0,357522.0,723698.0,292231.0,869849.0,95298.0,809295.0,1356204.0,1931477.0,270565.0,1269295.0,537747.0,1060427.0,289223.0
2016-12-01,16324856.0,16030935.0,2830142.0,40032.0,191442.0,117829.0,981386.0,1499453.0,13200792.0,2814802.0,748480.0,361712.0,728570.0,298722.0,888927.0,96737.0,808899.0,1366144.0,1942713.0,269904.0,1272580.0,544925.0,1057679.0,293922.0
2017-01-01,15800271.0,15508739.0,2672864.0,36083.0,187252.0,117338.0,874136.0,1458055.0,12835875.0,2715750.0,728634.0,358966.0,723096.0,289639.0,872254.0,95276.0,765931.0,1291835.0,1922953.0,262904.0,1236450.0,524151.0,1048035.0,291532.0
2017-02-01,15882255.0,15587587.0,2710207.0,37152.0,193051.0,119051.0,894900.0,1466053.0,12877380.0,2669826.0,726187.0,361915.0,722484.0,287060.0,876731.0,97166.0,765924.0,1364682.0,1925233.0,266320.0,1230596.0,526735.0,1056519.0,294668.0
2017-03-01,15920826.0,15616229.0,2721318.0,35920.0,195435.0,118015.0,901519.0,1470429.0,12894911.0,2657361.0,721043.0,363468.0,719921.0,283411.0,879103.0,94914.0,771718.0,1372755.0,1932582.0,268140.0,1245926.0,527848.0,1056723.0,304597.0
2017-04-01,16004536.0,15694860.0,2749497.0,32283.0,194072.0,118138.0,925262.0,1479742.0,12945362.0,2679244.0,725949.0,358119.0,719962.0,285388.0,882146.0,95543.0,786536.0,1363678.0,1932368.0,272107.0,1259721.0,531486.0,1053116.0,309676.0
